Date,SPY C-to-C,BAC C-to-C,SPY O-to-C,BAC O-to-C
16/11/2001,-0.244099473,-1.072938553,-0.413027888,-0.759352031
19/11/2001,1.105510447,2.350697137,0.415805516,1.142641782
20/11/2001,-0.656603752,-0.633686605,-0.452248401,0.181744504
21/11/2001,-0.534871189,0.072583959,-0.42980138,-0.682209992
23/11/2001,1.141395778,2.360440977,1.080438411,1.356790177
26/11/2001,0.630824314,-0.035527371,0.43312941,0.202149351
27/11/2001,-0.681573683,-2.32775334,-0.278122395,-1.46493404
28/11/2001,-1.809592559,-2.628746227,-0.937592894,-2.449089428
29/11/2001,1.018985849,3.025929967,0.858907336,1.622579907
30/11/2001,-0.051894747,-3.432074865,0.121394193,-0.879612196
03/12/2001,-0.868693413,0.18704552,0.069580449,1.019388507
04/12/2001,1.401653028,1.445972735,0.778930369,0.128888762
05/12/2001,2.211136044,-0.103702279,1.607899395,-0.630767816
06/12/2001,-0.2292053,1.143457,0.058826491,0.406248613
07/12/2001,-0.786927647,0.469208886,-0.292693532,0.947412376
10/12/2001,-1.619876798,-2.378400124,-1.215874253,-2.158327728
11/12/2001,-0.25316903,1.105487578,-0.46404377,1.056652092
12/12/2001,0.053063941,0.728624723,0.060357819,0.713995697
13/12/2001,-1.552635951,-1.939687046,-0.28441012,-0.76683847
14/12/2001,0.435261086,-0.089635313,0.514200904,-0.155426365
17/12/2001,0.9348406,2.549929702,0.677429126,2.293340868
18/12/2001,0.82196825,0.263137328,0.067839869,-0.685630308
19/12/2001,0.556080516,0.940681305,1.321550441,0.828046239
20/12/2001,-0.764069946,-0.668603642,-0.600873639,0.087680504
21/12/2001,0.035440805,-1.828503865,0.086172172,-1.319861363
24/12/2001,0.004914918,-0.26626489,-0.240439862,-0.492291548
26/12/2001,0.563269298,1.103124379,-0.104142324,0.730978733
27/12/2001,0.509315324,0.917811874,0.362204401,0.612880126
28/12/2001,0.319459988,0.894720498,-0.061084506,0.638506973
31/12/2001,-1.150208089,-1.051295115,-0.476491262,-0.748503621
02/01/2002,0.651248581,0.295330007,0.824583584,1.318241078
03/01/2002,1.007390676,0.025070967,0.467708508,-0.35558358
04/01/2002,0.521659052,1.507737876,-0.145572645,0.150012095
07/01/2002,-0.55449141,-1.235333348,-0.802197925,-0.244496848
08/01/2002,-0.368342673,-1.525803171,-0.386490084,-0.538139369
09/01/2002,-0.438846736,-0.201310765,-1.058017477,-1.118418512
10/01/2002,0.164621892,0.137580006,0.11140825,-1.051410433
11/01/2002,-1.022242484,-1.570538047,-0.953698551,-1.597915979
14/01/2002,-0.567447673,-0.271840203,-0.166916575,0.617113853
15/01/2002,0.681796337,0.827522297,0.207527233,-1.117321753
16/01/2002,-1.578825584,-0.631577287,-0.547202923,1.197306115
17/01/2002,0.959903055,0.434412926,0.280075128,0.17096603
18/01/2002,-0.950196821,-0.452404179,-0.275743553,-0.255298304
22/01/2002,-0.72755607,3.265668623,-1.356040226,1.169130587
23/01/2002,0.81684064,0.216199751,0.495381009,1.288084956
24/01/2002,0.318149092,1.855844184,-0.387949781,0.857369125
25/01/2002,0.088546065,-1.265600241,0.642701387,-0.481595663
28/01/2002,-0.034756176,0.853968574,-0.474493075,0.700544354
29/01/2002,-2.804540765,-7.018916978,-3.105795389,-7.328364953
30/01/2002,1.117444717,3.929570007,1.043780163,2.255225541
31/01/2002,1.459156209,2.351730466,1.04701386,2.06475915
01/02/2002,-0.557499102,-2.709947007,-0.417583665,-2.507845582
04/02/2002,-2.599959491,-3.023896696,-1.978121188,-1.722624406
05/02/2002,-0.383930601,-1.042539655,-0.392033905,-0.860868349
06/02/2002,-0.528916608,0.039828919,-0.708742148,-0.0787084
07/02/2002,-0.361293462,0.328622625,-0.137702504,-0.213646239
08/02/2002,1.529781593,2.842113189,0.91402154,0.886676255
11/02/2002,1.507904103,1.245814317,1.235524125,1.241632323
12/02/2002,-0.402863096,-0.351560035,0.259496598,0.351259743
13/02/2002,0.975431837,1.688565542,0.670041398,1.371673046
14/02/2002,-0.195889521,0.00045603,-0.19627583,0.776190218
15/02/2002,-1.012987086,-1.747943141,-1.032343457,-0.757846419
19/02/2002,-1.923565583,-2.174602108,-1.298075153,-1.127384553
20/02/2002,1.471914409,2.648578176,1.213229911,2.254137123
21/02/2002,-1.590495645,-0.106775434,-1.134572528,-0.350611563
22/02/2002,0.734215439,0.457213566,0.770739194,0.876270332
25/02/2002,1.929102495,3.148087281,1.245952614,1.957260024
26/02/2002,-0.107395068,0.624482968,-0.261570177,0.26056748
27/02/2002,0.179747781,0.088278765,-0.56462754,-0.383162001
28/02/2002,-0.263620202,0.574201338,-0.512522573,-0.177868164
01/03/2002,2.183303012,1.469794453,1.428268471,0.612981069
04/03/2002,1.933626191,2.101773374,1.672602881,0.862190849
05/03/2002,-0.587844678,-1.726338938,-0.260976095,-1.363049308
06/03/2002,1.397049208,2.577468644,1.361495156,1.916836798
07/03/2002,-0.393864535,0.550443734,-1.066932043,-0.599852864
08/03/2002,0.506532892,1.228696606,-0.386350369,0.040268413
11/03/2002,0.35077658,-0.031684526,0.752636213,0.438998913
12/03/2002,-0.195485406,0.277994648,0.858610364,1.490212442
13/03/2002,-0.986355566,-0.630349192,-0.260792565,-0.75843425
14/03/2002,-0.042493416,-0.650037311,-0.156056995,-0.2873566
15/03/2002,0.826672926,3.347380812,0.462000261,2.201883176
18/03/2002,-0.000141207,-0.479279454,-0.512381785,-0.293234397
19/03/2002,0.418504497,0.114934482,0.01615092,-0.104575181
20/03/2002,-1.589259877,-1.450030639,-0.767244651,0.201854934
21/03/2002,0.157308743,0.483402498,0.31561978,0.334602695
22/03/2002,-0.425057513,0.715167393,0.232863788,1.242276436
25/03/2002,-1.442581129,-0.542798998,-1.317114365,-0.95113787
26/03/2002,0.554331646,1.498644712,-0.097401859,0.330755183
27/03/2002,0.603682696,-0.435988877,0.74751356,0.404514463
28/03/2002,0.183430742,-1.112424911,-0.092043369,-1.001369733
01/04/2002,-0.084730887,0.086235963,0.75976148,1.656914672
02/04/2002,-0.735444276,0.657615589,-0.145504773,1.304619276
03/04/2002,-1.057989465,-0.265082923,-1.309410327,-0.705294575
04/04/2002,0.159911152,0.612231755,0.102926275,0.463966907
05/04/2002,-0.372184414,0.449593509,-0.70222075,-0.711071633
08/04/2002,0.302153307,1.010463814,0.882970424,1.883973103
09/04/2002,-0.658493403,0.243605414,-0.735634224,0.126314597
10/04/2002,1.145636096,0.415029398,0.92478445,0.025969421
11/04/2002,-2.361375286,-1.907408538,-2.05342152,-1.824351628
12/04/2002,0.573103662,2.021082874,0.556807937,1.276449169
15/04/2002,-0.639492467,-0.819416374,-0.613852865,-0.461776678
16/04/2002,2.24410511,1.985881768,0.970272482,0.580426088
17/04/2002,-0.093323232,0.254773045,-0.100025259,0.692567947
18/04/2002,-0.20865335,-0.098650884,-0.285604437,0.308762887
19/04/2002,0.064245253,1.19617012,-0.258296048,1.100262193
22/04/2002,-1.482023438,-0.532307474,-0.943506557,-0.533922647
23/04/2002,-0.676833686,0.9253116,-0.460352815,0.896474079
24/04/2002,-0.716241736,-0.208507587,-0.989152376,-0.627420811
25/04/2002,-0.120380166,-0.757545317,0.49110686,-0.19955677
26/04/2002,-1.27809875,1.234145791,-1.614279699,-0.126885825
29/04/2002,-1.08601158,-0.642270825,-0.896075571,-0.533922647
30/04/2002,1.058276701,1.588473904,0.953128558,1.38872841
01/05/2002,0.85751942,-0.150646135,1.051063423,0.345400412
02/05/2002,-0.119342029,1.813676205,-0.526990227,1.014814593
03/05/2002,-1.016374665,0.328576465,-0.610235875,0.23017623
06/05/2002,-1.905475267,-1.819544666,-1.738835805,-1.733553508
07/05/2002,-0.33972542,0.924073658,-0.314923381,-0.178550055
08/05/2002,3.665716995,1.614003232,1.689121947,0.067164594
09/05/2002,-1.379699915,0.588449065,-0.659996158,1.234332589
10/05/2002,-1.576499311,-0.792396217,-1.689025847,-1.062931259
13/05/2002,1.739826935,1.574969367,1.816976549,1.301522218
14/05/2002,2.092588435,1.249694254,0.633556703,0.662333817
15/05/2002,-0.482394582,0.09635505,0.281626756,0.737777328
16/05/2002,0.646162228,0.451159445,0.490369438,-0.248635268
17/05/2002,0.812318387,0.853862358,0.082102359,0.118515679
20/05/2002,-1.366783031,-1.358651734,-0.531528475,-0.799411146
21/05/2002,-1.046170031,-0.991404368,-1.733045488,-1.321016072
22/05/2002,0.526010595,0.668541203,0.300811375,0.11991796
23/05/2002,1.021186847,1.458867703,0.630686964,0.604241316
24/05/2002,-1.214707777,-0.408325659,-0.732697752,-0.535800213
28/05/2002,-0.812027655,-0.423695633,-0.746355169,0.05343237
29/05/2002,-0.566880875,0.694850316,-0.241493678,0.184370095
30/05/2002,-0.264164324,-0.258371919,0.440694769,0.027121762
31/05/2002,0.207197237,-0.153855562,-0.075406637,0.040268413
03/06/2002,-2.750935621,-1.819340545,-1.99772908,-1.685056401
04/06/2002,0.143413534,-0.279523728,0.433158876,0.471768543
05/06/2002,1.025731111,-1.300035753,0.410081105,-1.623393411
06/06/2002,-2.027302814,-5.058113092,-1.71591002,-3.881802902
07/06/2002,-0.087501971,1.979288685,1.14739446,2.999106428
10/06/2002,0.270359482,0.380712689,0.518714212,-0.043741673
11/06/2002,-1.6431237,-0.549524416,-2.176784173,-1.524883716
12/06/2002,0.701014937,1.112070315,0.564745939,0.068362247
13/06/2002,-1.069060752,-2.465972366,-0.570560366,-1.842173416
14/06/2002,-0.178166128,2.032315323,1.142153255,2.849321723
17/06/2002,2.823071463,3.228628567,1.682795289,1.851550327
18/06/2002,0.095643574,0.600686231,0.335043265,1.129010795
19/06/2002,-1.615361484,-0.119589559,-0.622328047,0.501786811
20/06/2002,-1.337374499,-2.237692294,-1.386673924,-2.041273417
21/06/2002,-1.944508147,-1.979035184,-1.482540261,-1.506879184
24/06/2002,0.428588475,-0.156155458,0.087861864,-0.286413221
25/06/2002,-1.80014691,-0.256374933,-2.528069898,-1.378195086
26/06/2002,-0.181977206,-3.765469299,1.668659183,-1.036041277
27/06/2002,1.731609783,1.673330853,0.556449335,0.259646929
28/06/2002,-0.123636443,2.433614516,-0.413435614,1.418016957
01/07/2002,-2.202453668,-1.160506902,-2.101083323,-1.544234082
02/07/2002,-2.129275695,0.056837168,-1.192993291,0.847189218
03/07/2002,0.719208442,-0.173976553,0.339117094,-0.2201484
05/07/2002,3.792596004,2.313108805,2.584816062,1.076400031
08/07/2002,-1.388923718,1.653733408,-1.320044401,0.76561683
09/07/2002,-2.487716514,-2.633276462,-2.323532322,-2.696936651
10/07/2002,-3.48543641,-3.089946074,-3.256031122,-3.41978555
11/07/2002,0.849630029,2.055007638,2.065125366,2.700466203
12/07/2002,-0.625462674,-1.032102812,-0.380082058,-1.23993528
15/07/2002,-0.445812659,-0.970317864,0.230862071,0.248230461
16/07/2002,-1.696104883,-2.074867611,-0.654559756,-1.457886948
17/07/2002,0.488665297,-2.028950558,-2.089243235,-3.404701347
18/07/2002,-2.993879617,-3.705362011,-2.092344603,-3.73909161
